,RUL
cycle,-0.828988047615109
sensor_11,-0.7886916250590731
sensor_4,-0.7715430648234145
sensor_15,-0.7357711582717661
sensor_17,-0.6995941128104753
sensor_2,-0.6935977519743698
sensor_3,-0.6704701480502825
sensor_13,-0.6316236123278015
sensor_8,-0.6314513298664416
sensor_9,-0.466184622562785
sensor_14,-0.3759972766873572
sensor_6,-0.12232031638360666
engine_id,-0.022924357611899933
setting_1,-0.005769866831077627
setting_2,-0.001031957984080439
sensor_20,0.7177082572780829
sensor_21,0.7231484250135551
sensor_7,0.7433429861908247
sensor_12,0.7644321010779064
RUL,1.0
setting_3,
sensor_1,
sensor_5,
sensor_10,
sensor_16,
sensor_18,
sensor_19,
